Client,Category,Vendor,Product,Version,"CPE Match","Cve Id",NeedsFix,Note
Windows,Software,"Adobe Inc.","Adobe Lightroom",9.5.1,cpe:2.3:a:adobe:lightroom:9.5.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-48441,"",""
Windows,Software,Anysphere,"Cursor (User)",3.0.13,cpe:2.3:a:anysphere:cursor:3.0.13:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-63093,"",""
Windows,Software,"Apple Inc.","Apple Software Update",2.1.1.116,cpe:2.3:a:apple:software_update:2.1.1.116:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2016-1731,"",""
Windows,Software,"Autodesk, Inc.","Autodesk DWG TrueView 2026 - English",25.1.122.0,cpe:2.3:a:autodesk:dwg_trueview:2026:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-16463,"",""
Windows,Software,"Autodesk, Inc.","Autodesk DWG TrueView 2026 - English",25.1.60.0,cpe:2.3:a:autodesk:dwg_trueview:2026:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-16463,"",""
Windows,Software,"ESET, spol. s r.o.","ESET Server Security",12.1.12012.1,cpe:2.3:a:eset:server_security:12.1.12012.1:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2022-27167,"",""
Other,Software,Eset,"Server Security",11.0.12012.0,cpe:2.3:a:eset:server_security:11.0.12012.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2022-27167,✔,"CVE-2022-27167 有一個開區間 From (including) 6.0"
Other,Software,Eset,"Server Security",11.0.227.0,cpe:2.3:a:eset:server_security:11.0.227.0:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2022-27167,✔,"CVE-2022-27167 有一個開區間 From (including) 6.0"
Windows,Software,"Google LLC","Google Chrome",151.0.7922.109,cpe:2.3:a:google:chrome:151.0.7922.109:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
Windows,Software,"Google LLC","Google Chrome",151.0.7922.137,cpe:2.3:a:google:chrome:151.0.7922.137:*:*:*:*:*:*:*,https://nvd.nist.gov/vuln/detail/CVE-2026-79090,"",""
