row,model,variant,out_file
1,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_1__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
1,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_1__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
1,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_1__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
1,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_1__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
1,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_1__CDG_gemini_gemini-3.5-flash__criteria_defined.json
1,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_1__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
1,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_1__CDG_gemini_gemini-3.5-flash__cot_analytical.json
1,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_1__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
1,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_1__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
1,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_1__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
1,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_1__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
1,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_1__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
2,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_2__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
2,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_2__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
2,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_2__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
2,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_2__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
2,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_2__CDG_gemini_gemini-3.5-flash__criteria_defined.json
2,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_2__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
2,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_2__CDG_gemini_gemini-3.5-flash__cot_analytical.json
2,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_2__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
2,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_2__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
2,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_2__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
2,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_2__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
2,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_2__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
3,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_3__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
3,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_3__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
3,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_3__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
3,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_3__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
3,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_3__CDG_gemini_gemini-3.5-flash__criteria_defined.json
3,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_3__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
3,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_3__CDG_gemini_gemini-3.5-flash__cot_analytical.json
3,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_3__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
3,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_3__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
3,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_3__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
3,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_3__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
3,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_3__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
4,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_4__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
4,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_4__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
4,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_4__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
4,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_4__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
4,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_4__CDG_gemini_gemini-3.5-flash__criteria_defined.json
4,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_4__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
4,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_4__CDG_gemini_gemini-3.5-flash__cot_analytical.json
4,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_4__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
4,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_4__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
4,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_4__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
4,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_4__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
4,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_4__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
5,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_5__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
5,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_5__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
5,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_5__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
5,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_5__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
5,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_5__CDG_gemini_gemini-3.5-flash__criteria_defined.json
5,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_5__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
5,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_5__CDG_gemini_gemini-3.5-flash__cot_analytical.json
5,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_5__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
5,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_5__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
5,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_5__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
5,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_5__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
5,CDG_gemini/gemini-3.1-pro-preview,devsecops_actionable,outputs\experiments\row_5__CDG_gemini_gemini-3.1-pro-preview__devsecops_actionable.json
6,CDG_gemini/gemini-3.1-flash-lite,criteria_defined,outputs\experiments\row_6__CDG_gemini_gemini-3.1-flash-lite__criteria_defined.json
6,CDG_gemini/gemini-3.1-flash-lite,mitigation_focused,outputs\experiments\row_6__CDG_gemini_gemini-3.1-flash-lite__mitigation_focused.json
6,CDG_gemini/gemini-3.1-flash-lite,cot_analytical,outputs\experiments\row_6__CDG_gemini_gemini-3.1-flash-lite__cot_analytical.json
6,CDG_gemini/gemini-3.1-flash-lite,devsecops_actionable,outputs\experiments\row_6__CDG_gemini_gemini-3.1-flash-lite__devsecops_actionable.json
6,CDG_gemini/gemini-3.5-flash,criteria_defined,outputs\experiments\row_6__CDG_gemini_gemini-3.5-flash__criteria_defined.json
6,CDG_gemini/gemini-3.5-flash,mitigation_focused,outputs\experiments\row_6__CDG_gemini_gemini-3.5-flash__mitigation_focused.json
6,CDG_gemini/gemini-3.5-flash,cot_analytical,outputs\experiments\row_6__CDG_gemini_gemini-3.5-flash__cot_analytical.json
6,CDG_gemini/gemini-3.5-flash,devsecops_actionable,outputs\experiments\row_6__CDG_gemini_gemini-3.5-flash__devsecops_actionable.json
6,CDG_gemini/gemini-3.1-pro-preview,criteria_defined,outputs\experiments\row_6__CDG_gemini_gemini-3.1-pro-preview__criteria_defined.json
6,CDG_gemini/gemini-3.1-pro-preview,mitigation_focused,outputs\experiments\row_6__CDG_gemini_gemini-3.1-pro-preview__mitigation_focused.json
6,CDG_gemini/gemini-3.1-pro-preview,cot_analytical,outputs\experiments\row_6__CDG_gemini_gemini-3.1-pro-preview__cot_analytical.json
